fault_index,nid_dip,nid_strike,shear_strike,shear_dip,effective_normal,slip_rate,state_variable,state_normal,vxm,vym,vzm,vxs,vys,vzs,slips,slipd,slipn
0,1,24,1.26734160000000E+07,-7.19763623046875E+03,-2.50043840000000E+07,4.20885992724607E-10,2.00301584000000E+08,2.50043840000000E+07,2.10442968606728E-10,3.86650650896434E-26,-1.19517256876901E-13,-2.10442968606728E-10,-3.86650650896434E-26,1.19517256876901E-13,1.75297930836678E-01,-5.42339148523752E-05,-1.79104597124100E-19
0,1,25,1.26705300000000E+07,-8.07461914062500E+03,-2.50039580000000E+07,4.19284662545039E-10,2.00609440000000E+08,2.50039580000000E+07,2.09642289639156E-10,3.85188423252897E-26,-1.33599918237734E-13,-2.09642289639156E-10,-3.85188423252897E-26,1.33599918237734E-13,1.74924150109291E-01,-6.08541195106227E-05,-1.79104597124100E-19
0,1,26,1.26670310000000E+07,-9.23212109375000E+03,-2.50029940000000E+07,4.17476803127315E-10,2.00963168000000E+08,2.50029940000000E+07,2.08738346052506E-10,3.83539272552677E-26,-1.52134910029987E-13,-2.08738346052506E-10,-3.83539272552677E-26,1.52134910029987E-13,1.74492925405502E-01,-6.95589042152278E-05,-1.79104597124100E-19
0,1,27,1.26626540000000E+07,-1.07484384765625E+04,-2.50012480000000E+07,4.15378925699983E-10,2.01380096000000E+08,2.50012480000000E+07,2.07689393461052E-10,3.81627178489011E-26,-1.76292953759510E-13,-2.07689393461052E-10,-3.81627178489011E-26,1.76292953759510E-13,1.73983201384544E-01,-8.09845296316780E-05,-1.79104597124100E-19
0,1,28,1.26570260000000E+07,-1.27365878906250E+04,-2.49983240000000E+07,4.12892692258637E-10,2.01881296000000E+08,2.49983240000000E+07,2.06446235107016E-10,3.79362777912477E-26,-2.07743951164893E-13,-2.06446235107016E-10,-3.79362777912477E-26,2.07743951164893E-13,1.73369333148003E-01,-9.60647303145379E-05,-1.79104597124100E-19
0,1,29,1.26495990000000E+07,-1.53587480468750E+04,-2.49935360000000E+07,4.09905664966459E-10,2.02491152000000E+08,2.49935360000000E+07,2.04952693705351E-10,3.76644350907134E-26,-2.48847139725991E-13,-2.04952693705351E-10,-3.76644350907134E-26,2.48847139725991E-13,1.72621935606003E-01,-1.16167277155910E-04,-1.79104597124100E-19
0,1,30,1.26395620000000E+07,-1.88503847656250E+04,-2.49857300000000E+07,4.06298966693086E-10,2.03234592000000E+08,2.49857300000000E+07,2.03149261301938E-10,3.73364661693677E-26,-3.02972680580813E-13,-2.03149261301938E-10,-3.73364661693677E-26,3.02972680580813E-13,1.71712249517441E-01,-1.43292971188203E-04,-1.79104597124100E-19
0,1,31,1.26257070000000E+07,-2.35527480468750E+04,-2.49730020000000E+07,4.01962851892534E-10,2.04130864000000E+08,2.49730020000000E+07,2.00981079001572E-10,3.69425842216054E-26,-3.74922098575481E-13,-2.00981079001572E-10,-3.69425842216054E-26,3.74922098575481E-13,1.70621797442436E-01,-1.80260845809244E-04,-1.79104597124100E-19
0,1,32,1.26066340000000E+07,-2.99877910156250E+04,-2.49530540000000E+07,3.96817884107392E-10,2.05184288000000E+08,2.49530540000000E+07,1.98408386942184E-10,3.64759267738485E-26,-4.71960144576844E-13,-1.98408386942184E-10,-3.64759267738485E-26,4.71960144576844E-13,1.69357314705849E-01,-2.30978737818077E-04,-1.79104597124100E-19
0,1,33,1.25813650000000E+07,-3.86614453125000E+04,-2.49245940000000E+07,3.90762033841696E-10,2.06399392000000E+08,2.49245940000000E+07,1.95380087109065E-10,3.59275020443727E-26,-6.00386060312097E-13,-1.95380087109065E-10,-3.59275020443727E-26,6.00386060312097E-13,1.67929619550705E-01,-2.98114086035639E-04,-1.79104597124100E-19
0,1,34,1.25505920000000E+07,-4.97846718750000E+04,-2.48902580000000E+07,3.83526654879063E-10,2.07825856000000E+08,2.48902580000000E+07,1.91761814760660E-10,3.52726519669140E-26,-7.60665185353671E-13,-1.91761814760660E-10,-3.52726519669140E-26,7.60665185353671E-13,1.66293725371361E-01,-3.80113808205351E-04,-1.79104597124100E-19
0,1,35,1.25167580000000E+07,-6.27610312500000E+04,-2.48578260000000E+07,3.74371117439765E-10,2.09659600000000E+08,2.48578260000000E+07,1.87183199495955E-10,3.44424683088062E-26,-9.38566607246172E-13,-1.87183199495955E-10,-3.44424683088062E-26,9.38566607246172E-13,1.64212107658386E-01,-4.66817728010938E-04,-1.79104597124100E-19
0,1,36,1.24820310000000E+07,-7.66518359375000E+04,-2.48372200000000E+07,3.61934510140216E-10,2.12289440000000E+08,2.48372200000000E+07,1.80963841134307E-10,3.33105669248668E-26,-1.11129432479179E-12,-1.80963841134307E-10,-3.33105669248668E-26,1.11129432479179E-12,1.61217242479324E-01,-5.44086389709264E-04,-1.79104597124100E-19
0,1,37,1.24443840000000E+07,-9.17595156250000E+04,-2.48340320000000E+07,3.44202472080113E-10,2.16324928000000E+08,2.48340320000000E+07,1.72096559225565E-10,3.16913282277996E-26,-1.26896583518832E-12,-1.72096559225565E-10,-3.16913282277996E-26,1.26896583518832E-12,1.56619548797607E-01,-6.06164452619851E-04,-1.79104597124100E-19
0,1,38,1.23946580000000E+07,-1.12285734375000E+05,-2.48460360000000E+07,3.18576859337227E-10,2.22648368000000E+08,2.48460360000000E+07,1.59281893230556E-10,2.93479645235461E-26,-1.44296705660574E-12,-1.59281893230556E-10,-2.93479645235461E-26,1.44296705660574E-12,1.49526879191399E-01,-6.70776818878949E-04,-1.79104597124100E-19
0,1,39,1.23137950000000E+07,-1.52067406250000E+05,-2.48662060000000E+07,2.81267786839123E-10,2.32914896000000E+08,2.48662060000000E+07,1.40623165889586E-10,2.59383936761282E-26,-1.73660521726737E-12,-1.40623165889586E-10,-2.59383936761282E-26,1.73660521726737E-12,1.38359218835831E-01,-7.98416498582810E-04,-1.79104597124100E-19
0,1,40,1.21573050000000E+07,-2.60564562500000E+05,-2.48879440000000E+07,2.24819426963840E-10,2.51690752000000E+08,2.48879440000000E+07,1.12383900796598E-10,2.07920777531322E-26,-2.40869693982071E-12,-1.12383900796598E-10,-2.07920777531322E-26,2.40869693982071E-12,1.18757642805576E-01,-1.18297582957894E-03,-1.79104597124100E-19
0,1,41,1.16677070000000E+07,-8.50425500000000E+05,-2.48160720000000E+07,1.29058388975700E-10,2.97526944000000E+08,2.48160720000000E+07,6.43584630033445E-11,1.21096935928549E-26,-4.69090261426275E-12,-6.43584630033445E-11,-1.21096935928549E-26,4.69090261426275E-12,7.45484828948975E-02,-2.69027496688068E-03,-1.79104597124100E-19
0,2,1,1.26227120000000E+07,-1.58763156250000E+05,-2.44705120000000E+07,5.79283898627381E-10,1.75868368000000E+08,2.44705120000000E+07,2.89619050963807E-10,5.34252042126646E-26,-3.64270679592549E-12,-2.89619050963807E-10,-5.34252042126646E-26,3.64270679592549E-12,2.06317633390427E-01,-1.03551882784814E-03,-1.79104597124100E-19
0,2,2,1.27886180000000E+07,-1.07637250000000E+05,-2.48063160000000E+07,5.73217917576585E-10,1.76856688000000E+08,2.48063160000000E+07,2.86598828003193E-10,5.27950522608127E-26,-2.41220043072088E-12,-2.86598828003193E-10,-5.27950522608127E-26,2.41220043072088E-12,2.04773575067520E-01,-7.17079674359411E-04,-1.79104597124100E-19
0,2,3,1.28208000000000E+07,-8.15701875000000E+04,-2.49245760000000E+07,5.46604206341783E-10,1.81426736000000E+08,2.49245760000000E+07,2.73296579811344E-10,5.03102390169797E-26,-1.73880376243274E-12,-2.73296579811344E-10,-5.03102390169797E-26,1.73880376243274E-12,1.98087334632874E-01,-5.20714558660984E-04,-1.79104597124100E-19
