nid_dip,nid_strike,shear_strike,shear_dip,effective_normal,slip_rate,state_variable,state_normal,vxm,vym,vzm,vxs,vys,vzs,slips,slipd,slipn
2.00000000000000E+00,1.60000000000000E+01,1.39638370000000E+07,0.00000000000000E+00,-2.50000000000000E+07,9.99999971718069E-10,5.00000000000000E+05,2.50000000000000E+07,4.99999985859034E-10,9.18485111682489E-26,0.00000000000000E+00,-4.99999985859034E-10,-9.18485111682489E-26,0.00000000000000E+00,4.20833340397664E-10,-9.46717242497846E-42,6.88766221184934E-41
2.00000000000000E+00,1.70000000000000E+01,1.39638370000000E+07,0.00000000000000E+00,-2.50000000000000E+07,9.99999971718069E-10,5.00000000000000E+05,2.50000000000000E+07,4.99999985859034E-10,9.18485111682489E-26,0.00000000000000E+00,-4.99999985859034E-10,-9.18485111682489E-26,0.00000000000000E+00,4.20833340397664E-10,-9.46717242497846E-42,6.88766221184934E-41
2.00000000000000E+00,1.80000000000000E+01,1.39638370000000E+07,0.00000000000000E+00,-2.50000000000000E+07,9.99999971718069E-10,5.00000000000000E+05,2.50000000000000E+07,4.99999985859034E-10,9.18485111682489E-26,0.00000000000000E+00,-4.99999985859034E-10,-9.18485111682489E-26,0.00000000000000E+00,4.20833340397664E-10,-9.46717242497846E-42,6.88766221184934E-41
2.00000000000000E+00,1.90000000000000E+01,1.39638370000000E+07,0.00000000000000E+00,-2.50000000000000E+07,9.99999971718069E-10,5.00000000000000E+05,2.50000000000000E+07,4.99999985859034E-10,9.18485111682489E-26,0.00000000000000E+00,-4.99999985859034E-10,-9.18485111682489E-26,0.00000000000000E+00,4.20833340397664E-10,-9.46717242497846E-42,6.88766221184934E-41
2.00000000000000E+00,2.00000000000000E+01,1.39638370000000E+07,0.00000000000000E+00,-2.50000000000000E+07,9.99999971718069E-10,5.00000000000000E+05,2.50000000000000E+07,4.99999985859034E-10,9.18485111682489E-26,0.00000000000000E+00,-4.99999985859034E-10,-9.18485111682489E-26,0.00000000000000E+00,4.20833340397664E-10,-9.46717242497846E-42,6.88766221184934E-41
2.00000000000000E+00,2.10000000000000E+01,1.39638370000000E+07,0.00000000000000E+00,-2.50000000000000E+07,9.99999971718069E-10,5.00000000000000E+05,2.50000000000000E+07,4.99999985859034E-10,9.18485111682489E-26,0.00000000000000E+00,-4.99999985859034E-10,-9.18485111682489E-26,0.00000000000000E+00,4.20833340397664E-10,-9.46717242497846E-42,6.88766221184934E-41
3.00000000000000E+00,1.00000000000000E+00,1.39638370000000E+07,0.00000000000000E+00,-2.50000000000000E+07,9.99999971718069E-10,5.00000000000000E+05,2.50000000000000E+07,4.99999985859034E-10,9.18485111682489E-26,0.00000000000000E+00,-4.99999985859034E-10,-9.18485111682489E-26,0.00000000000000E+00,4.20833340397664E-10,-9.46717242497846E-42,6.88766221184934E-41
3.00000000000000E+00,2.00000000000000E+00,1.39638370000000E+07,0.00000000000000E+00,-2.50000000000000E+07,9.99999971718069E-10,5.00000000000000E+05,2.50000000000000E+07,4.99999985859034E-10,9.18485111682489E-26,0.00000000000000E+00,-4.99999985859034E-10,-9.18485111682489E-26,0.00000000000000E+00,4.20833340397664E-10,-9.46717242497846E-42,6.88766221184934E-41
3.00000000000000E+00,3.00000000000000E+00,1.39638370000000E+07,2.13218420743942E-01,-2.50000000000000E+07,1.00000119296340E-09,5.00000000000000E+05,2.50000000000000E+07,5.00000596481698E-10,9.18486221018137E-26,7.63467356743376E-18,-5.00000596481698E-10,-9.18486221018137E-26,-7.63467356743376E-18,4.20833368153239E-10,5.30280313397851E-19,-3.82702117028171E-28
3.00000000000000E+00,4.00000000000000E+00,1.39638370000000E+07,2.14828789234161E-01,-2.50000000000000E+07,1.00000141500800E-09,5.00000000000000E+05,2.50000000000000E+07,5.00000707504000E-10,9.18486405907412E-26,7.69233715511544E-18,-5.00000707504000E-10,-9.18486405907412E-26,-7.69233715511544E-18,4.20833395908815E-10,5.34489525342404E-19,-3.82702117028171E-28
3.00000000000000E+00,5.00000000000000E+00,1.39638370000000E+07,2.33505383133888E-01,-2.50000000000000E+07,1.00000152603030E-09,5.00000000000000E+05,2.50000000000000E+07,5.00000763015152E-10,9.18486529166928E-26,8.36108786494619E-18,-5.00000763015152E-10,-9.18486529166928E-26,-8.36108786494619E-18,4.20833395908815E-10,5.81205067424219E-19,-3.82702117028171E-28
3.00000000000000E+00,6.00000000000000E+00,1.39638370000000E+07,2.49140754342079E-01,-2.50000000000000E+07,1.00000163705261E-09,5.00000000000000E+05,2.50000000000000E+07,5.00000818526303E-10,9.18486590796687E-26,8.92094190149555E-18,-5.00000818526303E-10,-9.18486590796687E-26,-8.92094190149555E-18,4.20833395908815E-10,6.20373051705582E-19,-3.82702117028171E-28
3.00000000000000E+00,7.00000000000000E+00,1.39638370000000E+07,2.41109877824783E-01,-2.50000000000000E+07,1.00000163705261E-09,5.00000000000000E+05,2.50000000000000E+07,5.00000818526303E-10,9.18486652426445E-26,8.63338166052823E-18,-5.00000818526303E-10,-9.18486652426445E-26,-8.63338166052823E-18,4.20833395908815E-10,6.00601418812822E-19,-3.82702117028171E-28
3.00000000000000E+00,8.00000000000000E+00,1.39638370000000E+07,1.93255051970482E-01,-2.50000000000000E+07,1.00000163705261E-09,5.00000000000000E+05,2.50000000000000E+07,5.00000818526303E-10,9.18486652426445E-26,6.91985220620626E-18,-5.00000818526303E-10,-9.18486652426445E-26,-6.91985220620626E-18,4.20833395908815E-10,4.81562580643352E-19,-3.82702117028171E-28
3.00000000000000E+00,9.00000000000000E+00,1.39638370000000E+07,1.01978674530983E-01,-2.50000000000000E+07,1.00000163705261E-09,5.00000000000000E+05,2.50000000000000E+07,5.00000818526303E-10,9.18486590796687E-26,3.65153380660461E-18,-5.00000818526303E-10,-9.18486590796687E-26,-3.65153380660461E-18,4.20833395908815E-10,2.54236003370310E-19,-3.82702117028171E-28
3.00000000000000E+00,1.00000000000000E+01,1.39638370000000E+07,-1.79454945027828E-02,-2.50000000000000E+07,1.00000163705261E-09,5.00000000000000E+05,2.50000000000000E+07,5.00000818526303E-10,9.18486590796687E-26,-6.42571374021632E-19,-5.00000818526303E-10,-9.18486590796687E-26,6.42571374021632E-19,4.20833395908815E-10,-4.46048227278241E-20,-3.82702117028171E-28
3.00000000000000E+00,1.10000000000000E+01,1.39638370000000E+07,-1.37757033109665E-01,-2.50000000000000E+07,1.00000163705261E-09,5.00000000000000E+05,2.50000000000000E+07,5.00000818526303E-10,9.18486590796687E-26,-4.93264342877621E-18,-5.00000818526303E-10,-9.18486590796687E-26,4.93264342877621E-18,4.20833395908815E-10,-3.43169706543490E-19,-3.82702117028171E-28
3.00000000000000E+00,1.20000000000000E+01,1.39638370000000E+07,-2.28434011340141E-01,-2.50000000000000E+07,1.00000163705261E-09,5.00000000000000E+05,2.50000000000000E+07,5.00000818526303E-10,9.18486590796687E-26,-8.17949938661426E-18,-5.00000818526303E-10,-9.18486590796687E-26,8.17949938661426E-18,4.20833395908815E-10,-5.69018525652205E-19,-3.82702117028171E-28
3.00000000000000E+00,1.30000000000000E+01,1.39638370000000E+07,-2.74348407983780E-01,-2.50000000000000E+07,1.00000163705261E-09,5.00000000000000E+05,2.50000000000000E+07,5.00000818526303E-10,9.18486652426445E-26,-9.82354897820423E-18,-5.00000818526303E-10,-9.18486652426445E-26,9.82354897820423E-18,4.20833395908815E-10,-6.83254959980346E-19,-3.82702117028171E-28
3.00000000000000E+00,1.40000000000000E+01,1.39638370000000E+07,-2.77435630559921E-01,-2.50000000000000E+07,1.00000163705261E-09,5.00000000000000E+05,2.50000000000000E+07,5.00000818526303E-10,9.18486590796687E-26,-9.93409256808520E-18,-5.00000818526303E-10,-9.18486590796687E-26,9.93409256808520E-18,4.20833395908815E-10,-6.90767259207187E-19,-3.82702117028171E-28
3.00000000000000E+00,1.50000000000000E+01,1.39638370000000E+07,-2.51017481088638E-01,-2.50000000000000E+07,1.00000152603030E-09,5.00000000000000E+05,2.50000000000000E+07,5.00000763015152E-10,9.18486529166928E-26,-8.98814040009814E-18,-5.00000763015152E-10,-9.18486529166928E-26,8.98814040009814E-18,4.20833395908815E-10,-6.24830211038748E-19,-3.82702117028171E-28
3.00000000000000E+00,1.60000000000000E+01,1.39638370000000E+07,-2.11212113499641E-01,-2.50000000000000E+07,1.00000141500800E-09,5.00000000000000E+05,2.50000000000000E+07,5.00000707504000E-10,9.18486467537170E-26,-7.56283623995598E-18,-5.00000707504000E-10,-9.18486467537170E-26,7.56283623995598E-18,4.20833395908815E-10,-5.25620908404917E-19,-3.82702117028171E-28
3.00000000000000E+00,1.70000000000000E+01,1.39638370000000E+07,-1.71578794717789E-01,-2.50000000000000E+07,1.00000130398570E-09,5.00000000000000E+05,2.50000000000000E+07,5.00000651992849E-10,9.18486344277654E-26,-6.14369209383550E-18,-5.00000651992849E-10,-9.18486344277654E-26,6.14369209383550E-18,4.20833368153239E-10,-4.26885218370561E-19,-3.82702117028171E-28
