t,max_slip_rate,moment_density_rate
7.27660796e+05,-7.63385100e+00,6.68294500e+07
7.32660796e+05,-7.63928200e+00,6.66628400e+07
7.38160796e+05,-7.64629100e+00,6.64768400e+07
7.43660796e+05,-7.65003500e+00,6.62783200e+07
7.48660796e+05,-7.64418700e+00,6.60796100e+07
7.54160796e+05,-7.63935700e+00,6.58345400e+07
7.59160796e+05,-7.63636900e+00,6.55839500e+07
7.64660796e+05,-7.63455700e+00,6.52762000e+07
7.70160796e+05,-7.63421000e+00,6.49362100e+07
7.75160796e+05,-7.63508500e+00,6.46027500e+07
7.80660796e+05,-7.63725400e+00,6.42152200e+07
7.86160796e+05,-7.64057400e+00,6.38137400e+07
7.91160796e+05,-7.64448200e+00,6.34438600e+07
7.96660796e+05,-7.64963900e+00,6.30393600e+07
8.01660796e+05,-7.65499900e+00,6.26800100e+07
8.07160796e+05,-7.66151600e+00,6.23000200e+07
8.12660796e+05,-7.66306800e+00,6.19412900e+07
8.17660796e+05,-7.66158200e+00,6.16371600e+07
8.23160796e+05,-7.65994100e+00,6.13297000e+07
8.28660796e+05,-7.65829600e+00,6.10527500e+07
8.33660796e+05,-7.65679900e+00,6.08286800e+07
8.39160796e+05,-7.65515700e+00,6.06134300e+07
8.44160796e+05,-7.65367300e+00,6.04464400e+07
8.49660796e+05,-7.65205900e+00,6.02943100e+07
8.55160796e+05,-7.64894800e+00,6.01749400e+07
8.60160796e+05,-7.64614400e+00,6.00943700e+07
8.65660796e+05,-7.64314500e+00,6.00357800e+07
8.71160796e+05,-7.64024700e+00,6.00076600e+07
8.76160796e+05,-7.63771000e+00,6.00074700e+07
8.81660796e+05,-7.63504200e+00,6.00337300e+07
8.86660796e+05,-7.63274800e+00,6.00800500e+07
8.92160796e+05,-7.63039900e+00,6.01534700e+07
8.97660796e+05,-7.62827400e+00,6.02475000e+07
9.02660796e+05,-7.62658400e+00,6.03477600e+07
9.08160796e+05,-7.62506100e+00,6.04700600e+07
